quarter,cohort,MII_Index_mean,MII_Index_median,MII_Index_std,MII_Index_min,MII_Index_max,total_auctions_sum,variant_id_count
2024Q4,1970–1999,41.39,40.3,23.77,6.74,91.24,27,22
2024Q4,2000–2014,38.73,38.08,19.12,0.48,84.34,42,35
2024Q4,2015+,36.37,37.5,24.45,0.0,100.0,31,27
2025Q1,1970–1999,43.82,35.26,29.17,15.55,100.0,14,12
2025Q1,2000–2014,32.42,29.85,18.07,0.0,70.11,36,30
2025Q1,2015+,37.93,35.53,18.53,15.52,77.14,14,12
2025Q2,1970–1999,40.68,37.86,18.31,7.99,95.76,544,288
2025Q2,2000–2014,41.97,38.97,16.93,0.0,97.71,465,255
2025Q2,2015+,41.26,38.73,16.94,7.31,90.69,217,136
2025Q2,Pre-1970,42.18,40.62,19.01,6.81,88.44,256,153
2025Q2,Unknown,45.38,44.32,20.88,1.85,100.0,4916,1212
2025Q3,1970–1999,46.74,45.66,20.83,5.63,100.0,3652,700
2025Q3,2000–2014,45.57,44.07,19.94,0.0,97.68,2780,578
2025Q3,2015+,43.97,43.63,19.65,1.32,94.03,1162,319
2025Q3,Pre-1970,43.18,41.47,19.66,6.91,98.69,1874,457
2025Q3,Unknown,47.29,42.06,20.32,13.16,98.98,539,151
2025Q4,1970–1999,43.44,41.19,20.14,0.0,100.0,529,291
2025Q4,2000–2014,43.12,42.68,17.74,0.45,98.87,447,254
2025Q4,2015+,44.27,41.49,18.5,6.96,85.39,203,137
2025Q4,Pre-1970,44.4,40.45,19.95,9.2,94.73,253,159
2025Q4,Unknown,43.56,42.61,19.72,6.78,92.93,265,190
