variant_id,MII_2025Q2,Auctions_2025Q2,MII_2025Q3,Auctions_2025Q3,Pct_Change,make,Abs_Change
Ford GT40 REPLICA GEN_UNKNOWN,100.0,5,56.93671654494922,1,-43.06328345505078,Ford,-43.06328345505078
Ferrari 458 GEN_UNKNOWN,98.3559200157146,4,35.12759767073519,1,-64.28522282632021,Ferrari,-63.22832234497941
Porsche 911 997,97.70849423299384,11,88.84056330321704,59,-9.075905835403114,Porsche,-8.867930929776804
Lamborghini AVENTADOR GEN_UNKNOWN,96.54189197490626,2,33.321608684867925,1,-65.48481907364207,Lamborghini,-63.22028329003834
Lamborghini MURCIÉLAGO GEN_UNKNOWN,96.18215903136911,1,30.098898753685454,1,-68.70635983138108,Lamborghini,-66.08326027768365
BMW Z8 GEN_OTHER,96.03324888026711,1,91.72658010958263,8,-4.484560109024297,BMW,-4.306668770684482
Mercedes-Benz W113 SL GEN_OTHER,95.7595581592572,2,93.98527378324563,8,-1.8528535533348662,Mercedes-Benz,-1.7742843760115647
Mercedes-Benz W113 SL GEN_OTHER,95.7595581592572,2,80.89297429166554,14,-15.524908587054176,Mercedes-Benz,-14.866583867591658
Mercedes-Benz W113 SL GEN_OTHER,43.004449273876304,1,93.98527378324563,8,118.54779068252921,Mercedes-Benz,50.98082450936933
Mercedes-Benz W113 SL GEN_OTHER,43.004449273876304,1,80.89297429166554,14,88.10373265448416,Mercedes-Benz,37.888525017789235
Mercedes-Benz 600 GEN_OTHER,94.11421046939385,1,91.30460443158721,1,-2.985315420268372,Mercedes-Benz,-2.8096060378066454
Mercedes-Benz 600 GEN_OTHER,65.56517774804412,1,91.30460443158721,1,39.25777000476587,Mercedes-Benz,25.739426683543087
Porsche 992 GT3 GEN_UNKNOWN,93.74307365567905,8,48.58667348717702,1,-48.170385722963125,Porsche,-45.15640016850203
Ford GT 1ST GENERATION GEN_UNKNOWN,93.64432437227676,10,82.75468582670182,3,-11.628722422390394,Ford,-10.88963854557494
Ferrari 308 GEN_UNKNOWN,93.46165518095668,7,38.522942625657095,2,-58.782088171806365,Ferrari,-54.93871255529959
Chevrolet CORVETTE C2 GEN_UNKNOWN,91.58483974948169,32,71.67430579000927,4,-21.739988860530925,Chevrolet,-19.910533959472417
Porsche 911 992,90.68625185723492,9,87.03110573587814,34,-4.030540513584113,Porsche,-3.655146121356779
Ferrari TESTAROSSA GEN_UNKNOWN,90.34178425922073,11,40.4907862365205,1,-55.18044438845826,Ferrari,-49.85099802270023
Ferrari SF90 GEN_UNKNOWN,89.54189850993271,3,85.17196591634988,1,-4.88032157716433,Ferrari,-4.369932593582831
Ferrari 308 GEN_OTHER,89.42195582497307,3,92.53642817422376,16,3.4828944642484596,Ferrari,3.11447234925069
Porsche 997 TURBO GEN_UNKNOWN,89.30161349014126,9,41.37628300016267,3,-53.6668136407966,Porsche,-47.92533048997859
Porsche 996 TURBO GEN_OTHER,89.24695612407274,3,91.12645161252773,25,2.1059491214939405,Porsche,1.8794954884549924
Ferrari 575M GEN_UNKNOWN,89.06165994550386,6,86.30161139360779,1,-3.099031113483545,Ferrari,-2.7600485518960767
Ferrari 360 GEN_UNKNOWN,88.97802352014425,8,39.10295501978611,3,-56.053243854159824,Ferrari,-49.87506850035814
Mercedes-Benz 300SL GULLWING & ROADSTER GEN_UNKNOWN,88.61792115942345,3,74.40204578502798,3,-16.041761292076732,Mercedes-Benz,-14.215875374395466
Porsche 991 GT3 GEN_UNKNOWN,88.55162094276865,7,42.47280788912134,4,-52.03610341975363,Porsche,-46.07881305364731
